symbol,initial_price,current_price,%change,num_trades
GRIFFAIN/USDT:USDT,0.51425,0.59516,15.733592610597965,63
ARC/USDT:USDT,0.47613,0.54894,15.292042089345346,63
TRUMP/USDT:USDT,65.946,74.957,13.664210111303182,63
TRUMP/USDT,66.1,74.12,12.13313161875947,61
FARTCOIN/USDT:USDT,2.1684,2.3132,6.677734735288694,62
JTO/USDT,3.247,3.423,5.4203880505081665,61
JTO/USDT:USDT,3.2434,3.4131,5.232163778750699,62
AIXBT/USDT:USDT,0.76167,0.80093,5.154463218979358,62
AIXBT/USDT,0.7619,0.8006,5.079406746292159,61
SOL/USDT,279.98,293.1,4.686049003500251,60
SOL/USDT:USDT,279.93,292.04,4.3260815203801,61
BNSOL/USDT,287.2,299.2,4.178272980501393,61
KMNO/USDT:USDT,0.1496,0.15492,3.5561497326203146,62
JUP/USDT:USDT,1.149,1.1867,3.281114012184514,62
JUP/USDT,1.1496,1.1871,3.2620041753653526,61
RAY/USDT,7.298,7.535,3.2474650589202536,60
ORCA/USDT,4.061,4.187,3.102684067963564,61
ORCA/USDT:USDT,4.06,4.179,2.9310344827586374,62
RAYSOL/USDT:USDT,7.3159,7.5218,2.8144179116718346,62
SLERF/USDT:USDT,0.1747,0.1792,2.5758443045220405,62
1000CHEEMS/USDT:USDT,0.0006273,0.000643,2.5027897337796907,62
GRASS/USDT:USDT,2.413,2.4732,2.49481972648156,62
